,rank,game_id,names,min_players,max_players,avg_time,min_time,max_time,year,avg_rating,geek_rating,num_votes,age,mechanic,owned,category,designer,weight
153,154,181279,Fury of Dracula (third edition),2,5,150.0,120,180,2015.0,7.65585,7.29724,6183,14.0,"Partnerships, Point to Point Movement, Secret Unit Deployment, Variable Player Powers",13023,"Adventure, Deduction, Fighting, Horror, Novel-based","Frank Brooks, Stephen Hand, Kevin Wilson",3.183
154,155,92828,Dixit Odyssey,3,12,30.0,30,30,2011.0,7.50692,7.29587,11227,8.0,"Partnerships, Simultaneous Action Selection, Storytelling, Voting",15192,"Card Game, Humor, Party Game",Jean-Louis Roubira,1.2389
155,156,66589,Navegador,2,5,75.0,60,90,2010.0,7.57841,7.2932,6576,12.0,Area Movement,6395,"Economic, Exploration, Nautical, Renaissance",Mac Gerdts,3.0922
158,159,54138,Imperial 2030,2,6,120.0,120,120,2009.0,7.7314,7.28505,4408,12.0,"Area Control / Area Influence, Area Movement, Stock Holding",4792,"Economic, Fighting, Nautical, Political",Mac Gerdts,3.5066
159,160,41114,The Resistance,5,10,30.0,30,30,2009.0,7.38861,7.27961,28233,13.0,"Partnerships, Simultaneous Action Selection, Voting",42572,"Bluffing, Deduction, Negotiation, Party Game, Science Fiction, Spies/Secret Agents",Don Eskridge,1.6312
160,161,77130,Sid Meier's Civilization: The Board Game,2,4,180.0,120,240,2010.0,7.4848,7.27673,12182,13.0,"Card Drafting, Deck / Pool Building, Grid Movement, Hand Management, Modular Board, Rock-Paper-Scissors, Trading, Variable Player Powers",16051,"City Building, Civilization, Exploration, Negotiation, Video Game Theme",Kevin Wilson,3.8603
161,162,3,Samurai,2,4,45.0,30,60,1998.0,7.43847,7.27082,12560,10.0,"Area Control / Area Influence, Hand Management, Set Collection, Tile Placement",12576,"Abstract Strategy, Medieval",Reiner Knizia,2.5044
162,163,119890,Agricola: All Creatures Big and Small,2,2,30.0,30,30,2012.0,7.47014,7.26582,9874,13.0,"Area Enclosure, Tile Placement, Worker Placement",14975,"Animals, Farming",Uwe Rosenberg,2.3464
163,164,760,Battle Line,2,2,30.0,30,30,2000.0,7.41989,7.2578,12926,12.0,"Hand Management, Set Collection",15858,"Ancient, Card Game, Deduction",Reiner Knizia,1.9056
164,165,156129,Deception: Murder in Hong Kong,4,12,20.0,20,20,2014.0,7.55093,7.25657,6960,14.0,Partnerships,10824,"Bluffing, Deduction, Murder/Mystery, Party Game, Spies/Secret Agents",Tobey Ho,1.6209
166,167,45315,Dungeon Lords,2,4,90.0,90,90,2009.0,7.44366,7.2552,11252,12.0,"Action / Movement Programming, Hand Management, Simultaneous Action Selection, Tile Placement, Worker Placement",12343,"Economic, Fantasy, Fighting, Humor",Vlaada Chvátil,3.538
167,168,1,Die Macher,3,5,240.0,240,240,1986.0,7.65256,7.25372,4604,14.0,"Area Control / Area Influence, Auction/Bidding, Dice Rolling, Hand Management, Simultaneous Action Selection",5341,"Economic, Negotiation, Political",Karl-Heinz Schmiel,4.3476
168,169,40692,Small World,2,5,60.0,40,80,2009.0,7.33452,7.25236,47348,8.0,"Area Control / Area Influence, Area Movement, Dice Rolling, Variable Player Powers",60952,"Fantasy, Fighting, Territory Building",Philippe Keyaerts,2.3672
169,170,59959,Letters from Whitechapel,2,6,120.0,120,120,2011.0,7.47383,7.25167,10159,13.0,"Memory, Partnerships, Point to Point Movement, Secret Unit Deployment",13808,"Bluffing, Deduction, Murder/Mystery, Post-Napoleonic","Gabriele Mari, Gianluca Santopietro",2.6828
172,173,36932,Claustrophobia,2,2,45.0,45,45,2009.0,7.58747,7.24564,5934,14.0,"Dice Rolling, Modular Board, Variable Player Powers",8477,"Horror, Adventure, Fantasy, Fighting, Miniatures",Croc,2.4836
173,174,176920,Mission: Red Planet (Second Edition),2,6,67.5,45,90,2015.0,7.59988,7.24532,5484,14.0,"Area Control / Area Influence, Hand Management, Simultaneous Action Selection",7852,Science Fiction,"Bruno Cathala, Bruno Faidutti",2.2349
177,178,39856,Dixit,3,6,30.0,30,30,2008.0,7.33367,7.2359,35134,6.0,"Simultaneous Action Selection, Storytelling, Voting",46364,"Card Game, Humor, Party Game",Jean-Louis Roubira,1.2523
178,179,160477,Onitama,2,2,17.5,15,20,2014.0,7.60444,7.23536,5690,8.0,"Grid Movement, Hand Management",10009,"Abstract Strategy, Ancient",Shimpei Sato,1.6842
179,180,198773,Codenames: Pictures,2,8,15.0,10,20,2016.0,7.47008,7.23335,8512,10.0,"Memory, Partnerships, Pattern Recognition, Press Your Luck",15992,"Deduction, Memory, Party Game, Spies/Secret Agents",Vlaada Chvátil,1.3125
180,181,37046,Ghost Stories,1,4,60.0,60,60,2008.0,7.37881,7.2323,15534,12.0,"Co-operative Play, Dice Rolling, Grid Movement, Modular Board, Variable Player Powers",20359,"Fantasy, Fighting, Horror, Mythology",Antoine Bauza,2.8989
184,185,136888,Bruges,2,4,60.0,60,60,2013.0,7.47148,7.227,7824,10.0,"Dice Rolling, Hand Management",9065,"Card Game, City Building, Dice, Economic, Renaissance",Stefan Feld,2.7466
186,187,25292,Merchants & Marauders,2,4,180.0,180,180,2010.0,7.44567,7.22514,10385,13.0,"Action Point Allowance System, Area Movement, Dice Rolling, Pick-up and Deliver, Variable Player Powers",14063,"Adventure, Nautical, Pirates, Transportation","Kasper Aagaard, Christian Marcussen",3.223
188,189,124708,Mice and Mystics,1,4,120.0,120,120,2012.0,7.44147,7.22348,12292,7.0,"Area Movement, Co-operative Play, Dice Rolling, Role Playing, Storytelling, Variable Player Powers",23772,"Adventure, Exploration, Fantasy, Fighting, Miniatures",Jerry Hawthorne,2.6511
189,190,33160,Endeavor,3,5,90.0,90,90,2009.0,7.44925,7.2229,8266,12.0,"Area Control / Area Influence, Card Drafting, Set Collection",6841,"Exploration, Nautical, Renaissance","Carl de Visser, Jarratt Gray",2.9051
190,191,204583,Kingdomino,2,4,17.5,15,20,2016.0,7.44718,7.21988,9962,8.0,"Card Drafting, Pattern Building, Tile Placement, Variable Phase Order",17168,"City Building, Medieval, Territory Building",Bruno Cathala,1.2143
191,192,144344,Rococo,2,5,90.0,60,120,2013.0,7.56933,7.21935,5281,12.0,"Area Control / Area Influence, Card Drafting, Deck / Pool Building, Hand Management, Set Collection",6574,"Age of Reason, Economic","Matthias Cramer, Louis Malz, Stefan Malz",3.1173
192,193,40765,Clash of Cultures,2,4,210.0,180,240,2012.0,7.67418,7.21878,4273,14.0,"Action Point Allowance System, Dice Rolling, Grid Movement, Hand Management, Modular Board, Trading, Variable Player Powers",5166,"Ancient, City Building, Civilization, Economic, Exploration, Medieval, Territory Building",Christian Marcussen,3.5799
194,195,63628,The Manhattan Project,2,5,120.0,120,120,2012.0,7.46405,7.21039,7434,13.0,"Card Drafting, Worker Placement",9861,"Aviation / Flight, Economic, Fighting, Industry / Manufacturing, Negotiation, World War II",Brandon Tibbetts,2.9712
195,196,70919,Takenoko,2,4,45.0,45,45,2011.0,7.33353,7.21025,23251,8.0,"Action Point Allowance System, Dice Rolling, Grid Movement, Modular Board, Pattern Building, Set Collection, Tile Placement",34891,"Animals, Environmental, Farming, Territory Building",Antoine Bauza,1.9802
196,197,2655,Hive,2,2,20.0,20,20,2001.0,7.32455,7.2101,21839,9.0,"Grid Movement, Tile Placement",27753,"Abstract Strategy, Animals",John Yianni,2.3398
197,198,129622,Love Letter,2,4,20.0,20,20,2012.0,7.29053,7.20917,40433,10.0,"Hand Management, Player Elimination",68046,"Card Game, Deduction, Renaissance",Seiji Kanai,1.2021
198,199,5,Acquire,2,6,90.0,90,90,1964.0,7.35631,7.20848,15955,12.0,"Hand Management, Stock Holding, Tile Placement",19817,Economic,Sid Sackson,2.5078
199,200,143693,Glass Road,1,4,50.0,20,80,2013.0,7.4822,7.20683,6679,13.0,"Card Drafting, Set Collection, Simultaneous Action Selection, Tile Placement, Variable Phase Order",8368,"City Building, Economic, Medieval",Uwe Rosenberg,2.9695
200,201,121,Dune,2,6,120.0,60,180,1979.0,7.62467,7.20656,4763,12.0,"Area Control / Area Influence, Area Movement, Auction/Bidding, Hand Management, Partnerships, Variable Player Powers",5576,"Bluffing, Fighting, Negotiation, Novel-based, Political, Science Fiction","Bill Eberle, Jack Kittredge, Peter Olotka",3.4352
201,202,21241,Neuroshima Hex!,1,4,30.0,30,30,2006.0,7.43361,7.20624,10714,13.0,"Hand Management, Hex-and-Counter, Player Elimination, Tile Placement, Variable Player Powers",10969,"Fighting, Science Fiction",Micha? Oracz,2.6034
204,205,188834,Secret Hitler,5,10,45.0,45,45,2016.0,7.61138,7.20556,6406,13.0,"Partnerships, Player Elimination, Voting",9203,"Bluffing, Card Game, Deduction, Humor, Party Game, Political, Print & Play, World War II","Mike Boxleiter, Tommy Maranges, Max Temkin",1.7759
205,206,25554,Notre Dame,2,5,60.0,45,75,2007.0,7.3834,7.20428,10441,10.0,"Area Control / Area Influence, Card Drafting, Point to Point Movement",10261,"Economic, Renaissance",Stefan Feld,2.7583
206,207,172081,Burgle Bros.,1,4,67.5,45,90,2015.0,7.67048,7.20269,4119,12.0,"Action Point Allowance System, Co-operative Play, Dice Rolling, Grid Movement, Modular Board, Variable Player Powers",7778,"Exploration, Maze, Spies/Secret Agents",Tim Fowers,2.2806
208,209,31594,In the Year of the Dragon,2,5,87.5,75,100,2007.0,7.40562,7.19974,8878,12.0,"Hand Management, Variable Phase Order",7787,"Economic, Medieval",Stefan Feld,3.1275
210,211,198994,Hero Realms,1,4,25.0,20,30,2016.0,7.7372,7.19607,3847,12.0,"Card Drafting, Deck / Pool Building, Hand Management",8057,"Card Game, Fantasy, Fighting","Robert Dougherty, Darwin Kastle",1.9833
211,212,54,Tikal,2,4,90.0,90,90,1999.0,7.34337,7.19598,14659,10.0,"Action Point Allowance System, Area Control / Area Influence, Auction/Bidding, Grid Movement, Set Collection, Tile Placement",17907,"Exploration, Territory Building","Michael Kiesling, Wolfgang Kramer",2.8348
212,213,54625,Space Hulk (third edition),2,2,60.0,60,60,2009.0,7.55146,7.1944,6115,12.0,"Action Point Allowance System, Dice Rolling, Grid Movement, Modular Board",8603,"Fighting, Miniatures, Science Fiction, Wargame",Richard Halliwell,2.7869
214,215,71,Civilization,2,7,360.0,360,360,1980.0,7.52012,7.18954,6395,12.0,"Area Control / Area Influence, Area Movement, Hand Management, Set Collection, Trading",8705,"Ancient, Civilization, Economic, Negotiation",Francis Tresham,3.6611
215,216,70323,King of Tokyo,2,6,30.0,30,30,2011.0,7.27603,7.18598,41306,8.0,"Area Control / Area Influence, Card Drafting, Dice Rolling, Player Elimination, Press Your Luck",58492,"Dice, Fighting, Movies / TV / Radio theme, Science Fiction",Richard Garfield,1.5078
217,218,46213,Telestrations,4,8,30.0,30,30,2009.0,7.42608,7.18301,8035,12.0,"Line Drawing, Paper-and-Pencil",11362,"Humor, Party Game, Real-time",(Uncredited),1.1007
218,219,105134,Risk Legacy,3,5,60.0,60,60,2011.0,7.53318,7.1808,6040,13.0,"Area Movement, Card Drafting, Dice Rolling, Player Elimination, Variable Player Powers",10436,"Dice, Science Fiction, Wargame","Rob Daviau, Chris Dupuis",2.6135
219,220,8217,San Juan,2,4,52.5,45,60,2004.0,7.28839,7.17821,19529,10.0,"Hand Management, Set Collection, Variable Phase Order",21044,"Card Game, City Building, Economic",Andreas Seyfarth,2.2909
220,221,9217,Saint Petersburg,2,4,52.5,45,60,2004.0,7.32521,7.17169,12858,10.0,"Card Drafting, Set Collection",10921,"Age of Reason, Card Game, Economic",Bernd Brunnhofer,2.4736
221,222,118,Modern Art,3,5,45.0,45,45,1992.0,7.33443,7.17167,12404,10.0,"Auction/Bidding, Commodity Speculation, Hand Management",13662,"Card Game, Economic",Reiner Knizia,2.3201
222,223,2653,Survive: Escape from Atlantis!,2,4,52.5,45,60,1982.0,7.31963,7.16965,15097,8.0,"Action Point Allowance System, Dice Rolling, Grid Movement, Memory, Modular Board, Secret Unit Deployment",21632,"Adventure, Animals, Bluffing, Nautical",Julian Courtland-Smith,1.712
224,225,21348,Ticket to Ride: Märklin,2,5,45.0,30,60,2006.0,7.41155,7.16369,7983,8.0,"Card Drafting, Hand Management, Point to Point Movement, Route/Network Building, Set Collection",9776,"Trains, Transportation, Travel",Alan R. Moon,2.2419
225,226,24480,The Pillars of the Earth,2,4,105.0,90,120,2006.0,7.31188,7.16364,13755,12.0,Worker Placement,15594,"Economic, Medieval, Novel-based, Religious","Michael Rieneck, Stefan Stadler",2.8344
227,228,199561,Sagrada,1,4,30.0,20,40,2017.0,7.64609,7.16173,4052,14.0,"Dice Rolling, Pattern Building, Set Collection",6482,"Dice, Puzzle","Adrian Adamescu, Daryl Andrews",1.8293
228,229,15987,Arkham Horror,1,8,240.0,120,360,2005.0,7.3254,7.15817,31807,12.0,"Co-operative Play, Dice Rolling, Hand Management, Point to Point Movement, Role Playing, Variable Player Powers",41025,"Adventure, Fantasy, Fighting, Horror, Novel-based","Richard Launius, Kevin Wilson",3.5505
230,231,157969,Sheriff of Nottingham,3,5,60.0,60,60,2014.0,7.28673,7.15578,18710,13.0,"Card Drafting, Hand Management, Role Playing, Set Collection",29295,"Bluffing, Card Game, Humor, Medieval, Negotiation, Novel-based, Party Game","Sérgio Halaban, André Zatz",1.6717
231,232,163967,Tiny Epic Galaxies,1,5,45.0,30,60,2015.0,7.41258,7.15431,8229,14.0,"Area Control / Area Influence, Dice Rolling, Variable Player Powers",14984,"Dice, Science Fiction, Space Exploration",Scott Almes,2.152
232,233,79828,A Few Acres of Snow,2,2,90.0,60,120,2011.0,7.431,7.15412,6511,14.0,"Area Control / Area Influence, Card Drafting, Deck / Pool Building, Hand Management, Point to Point Movement",8286,"Age of Reason, American Indian Wars, Card Game, Territory Building, Wargame",Martin Wallace,3.0334
233,234,39683,At the Gates of Loyang,1,4,90.0,60,120,2009.0,7.38869,7.15338,7637,10.0,"Card Drafting, Set Collection",9566,"Economic, Farming",Uwe Rosenberg,3.1464
234,235,90137,Blood Bowl: Team Manager ? The Card Game,2,4,90.0,90,90,2011.0,7.38427,7.15116,8650,14.0,"Area Control / Area Influence, Card Drafting, Deck / Pool Building, Dice Rolling, Hand Management",11583,"Card Game, Fantasy, Fighting, Sports",Jason Little,2.331
235,236,209685,Century: Spice Road,2,5,37.5,30,45,2017.0,7.4747,7.14759,6268,8.0,"Card Drafting, Deck / Pool Building, Hand Management, Set Collection",8656,"Card Game, Economic, Medieval",Emerson Matsuuchi,1.768
236,237,55670,Macao,2,4,75.0,50,100,2009.0,7.43573,7.14666,6010,12.0,"Action Point Allowance System, Card Drafting, Dice Rolling, Hand Management, Pick-up and Deliver, Route/Network Building, Set Collection",6125,"Dice, Nautical",Stefan Feld,3.1332
237,238,176396,Quadropolis,2,4,45.0,30,60,2016.0,7.42986,7.14616,6773,8.0,"Hand Management, Pattern Building, Set Collection, Tile Placement",9321,"City Building, Environmental",François Gandon,2.2353
239,240,712,Blood Bowl (Third Edition),2,2,180.0,180,180,1994.0,7.57764,7.14021,4678,12.0,"Dice Rolling, Grid Movement, Variable Player Powers",5675,"Fantasy, Fighting, Miniatures, Sports, Wargame",Jervis Johnson,2.9751
240,241,96913,Lancaster,2,5,60.0,60,60,2011.0,7.46796,7.13991,5335,10.0,"Area Control / Area Influence, Auction/Bidding, Voting, Worker Placement",6336,Medieval,Matthias Cramer,2.9921
241,242,66188,Fresco,2,4,60.0,60,60,2010.0,7.32562,7.13689,9570,10.0,"Action / Movement Programming, Grid Movement, Set Collection, Simultaneous Action Selection",11486,Renaissance,"Wolfgang Panning, Marco Ruskowski, Marcel Süßelbeck",2.6319
243,244,25417,BattleLore,2,2,60.0,60,60,2006.0,7.39135,7.13609,8776,10.0,"Campaign / Battle Card Driven, Dice Rolling, Grid Movement, Hand Management, Modular Board, Variable Player Powers",10307,"Fantasy, Medieval, Miniatures, Wargame",Richard Borg,2.7633
247,248,83330,Mansions of Madness,2,5,120.0,120,120,2011.0,7.36646,7.12532,11213,13.0,"Area Movement, Dice Rolling, Hand Management, Modular Board, Partnerships, Pick-up and Deliver, Role Playing, Variable Player Powers",16360,"Adventure, Exploration, Fantasy, Fighting, Horror, Miniatures, Murder/Mystery, Puzzle",Corey Konieczka,3.2397
248,249,18833,Lord of the Rings: The Confrontation,2,2,30.0,30,30,2005.0,7.50652,7.12528,4781,14.0,"Area Movement, Hand Management, Secret Unit Deployment, Simultaneous Action Selection, Variable Player Powers",5931,"Adventure, Bluffing, Deduction, Fantasy, Movies / TV / Radio theme, Novel-based","Reiner Knizia, Eric M. Lang, Christian T. Petersen",2.1977
249,250,147949,One Night Ultimate Werewolf,3,10,10.0,10,10,2014.0,7.30019,7.12393,13512,8.0,"Role Playing, Variable Player Powers, Voting",21767,"Bluffing, Card Game, Deduction, Horror, Party Game","Ted Alspach, Akihisa Okui",1.411
250,251,100901,Flash Point: Fire Rescue,1,6,45.0,45,45,2011.0,7.26422,7.12374,15491,10.0,"Action Point Allowance System, Co-operative Play, Dice Rolling, Grid Movement, Pick-up and Deliver, Simulation, Variable Player Powers",24069,Adventure,Kevin Lanzing,2.2088
251,252,66362,Glen More,2,5,57.5,45,70,2010.0,7.35066,7.12371,7506,10.0,"Commodity Speculation, Dice Rolling, Grid Movement, Set Collection, Tile Placement, Time Track",7542,"City Building, Economic, Farming",Matthias Cramer,2.6711
252,253,150658,Pandemic: The Cure,2,5,30.0,30,30,2014.0,7.39414,7.1231,6676,8.0,"Co-operative Play, Dice Rolling, Hand Management, Point to Point Movement, Press Your Luck, Set Collection, Variable Player Powers",10453,"Dice, Environmental, Medical",Matt Leacock,2.064
255,256,5404,Amun-Re,3,5,90.0,90,90,2003.0,7.35643,7.12047,7515,12.0,"Area Control / Area Influence, Auction/Bidding",7737,"Ancient, Economic",Reiner Knizia,3.0733
256,257,65781,London,2,4,90.0,90,90,2010.0,7.4101,7.11979,5726,13.0,"Card Drafting, Hand Management",5507,"City Building, Economic",Martin Wallace,2.8793
258,259,136063,Forbidden Desert,2,5,45.0,45,45,2013.0,7.24748,7.11224,17227,10.0,"Action Point Allowance System, Co-operative Play, Grid Movement, Modular Board, Pick-up and Deliver, Set Collection, Variable Player Powers",29537,"Adventure, Fantasy, Science Fiction",Matt Leacock,2.0364
259,260,102652,Sentinels of the Multiverse,1,5,45.0,30,60,2011.0,7.32189,7.11219,11948,8.0,"Co-operative Play, Hand Management, Variable Player Powers",17412,"Card Game, Comic Book / Strip, Fighting","Christopher Badell, Paul Bender, Adam Rebottaro",2.5039
260,261,172,For Sale,3,6,30.0,30,30,1997.0,7.21922,7.11118,17202,10.0,"Auction/Bidding, Hand Management",20430,"Card Game, Economic",Stefan Dorra,1.2841
263,264,17226,Descent: Journeys in the Dark,2,5,240.0,240,240,2005.0,7.33339,7.10614,10553,12.0,"Dice Rolling, Grid Movement, Modular Board, Partnerships, Role Playing, Variable Player Powers",12668,"Adventure, Exploration, Fantasy, Fighting, Miniatures",Kevin Wilson,3.3406
264,265,27162,Kingsburg,2,5,90.0,90,90,2007.0,7.23053,7.10335,16104,13.0,"Dice Rolling, Worker Placement",15332,"City Building, Dice, Fantasy, Medieval","Andrea Chiarvesio, Luca Iennaco",2.4289
265,266,11170,Heroscape Master Set: Rise of the Valkyrie,2,4,90.0,90,90,2004.0,7.42229,7.1033,7147,8.0,"Dice Rolling, Grid Movement, Modular Board",11222,"Adventure, Fantasy, Fighting, Miniatures, Science Fiction","Stephen Baker, Rob Daviau, Craig Van Ness",2.2917
266,267,137408,Amerigo,2,4,90.0,90,90,2013.0,7.50017,7.10305,4347,10.0,"Action Point Allowance System, Grid Movement, Modular Board, Tile Placement",5903,"Nautical, Renaissance",Stefan Feld,3.0035
268,269,98778,Hanabi,2,5,25.0,25,25,2010.0,7.18362,7.09459,27135,8.0,"Co-operative Play, Hand Management, Memory, Set Collection",44147,"Card Game, Deduction, Memory",Antoine Bauza,1.7097
269,270,58421,Egizia,2,4,90.0,90,90,2009.0,7.46138,7.09397,4544,12.0,"Card Drafting, Time Track, Worker Placement",3727,"Ancient, Farming","Acchittocca, Flaminia Brasini, Virginio Gigli, Stefano Luperto, Antonio Tinto",2.8315
270,271,97786,Small World Underground,2,5,60.0,30,90,2011.0,7.34729,7.09131,7743,8.0,"Area Movement, Dice Rolling, Variable Player Powers",12451,"Fantasy, Fighting, Territory Building",Philippe Keyaerts,2.6006
271,272,13,Catan,3,4,90.0,60,120,1995.0,7.23569,7.08943,74261,10.0,"Dice Rolling, Hand Management, Modular Board, Route/Network Building, Trading",106608,Negotiation,Klaus Teuber,2.3536
272,273,133038,Pathfinder Adventure Card Game: Rise of the Runelords ? Base Set,1,4,90.0,90,90,2013.0,7.32134,7.08917,10402,13.0,"Co-operative Play, Deck / Pool Building, Dice Rolling, Hand Management, Role Playing, Variable Player Powers",16103,"Adventure, Card Game, Fantasy, Fighting","Mike Selinker, Chad Brown, Tanis O'Connor, Paul Peterson, Gaby Weidling",2.7162
273,274,105551,Archipelago,2,5,135.0,30,240,2012.0,7.41547,7.08842,5760,14.0,"Area Control / Area Influence, Auction/Bidding, Commodity Speculation, Modular Board, Tile Placement, Trading, Worker Placement",7809,"Civilization, Economic, Exploration, Nautical, Negotiation, Renaissance",Christophe Boelinger,3.7237
274,275,128671,Spartacus: A Game of Blood & Treachery,3,4,150.0,150,150,2012.0,7.48608,7.08838,5304,17.0,"Auction/Bidding, Betting/Wagering, Dice Rolling, Grid Movement, Hand Management, Trading, Variable Player Powers",6957,"Ancient, Fighting, Miniatures, Movies / TV / Radio theme, Negotiation","Aaron Dill, John Kovaleski, Sean Sweigart",2.6833
275,276,138161,Firefly: The Game,1,5,180.0,120,240,2013.0,7.40846,7.08593,7844,13.0,"Area Movement, Card Drafting, Dice Rolling, Pick-up and Deliver, Take That, Trading, Variable Player Powers",14275,"Movies / TV / Radio theme, Science Fiction, Space Exploration, Travel","Aaron Dill, John Kovaleski, Sean Sweigart",2.9441
276,277,63888,Innovation,2,4,52.5,45,60,2010.0,7.24368,7.08354,11701,12.0,"Hand Management, Variable Phase Order",14917,"Card Game, Civilization",Carl Chudyk,2.7141
281,282,171668,The Grizzled,2,5,30.0,30,30,2015.0,7.32457,7.07597,7446,10.0,"Co-operative Play, Hand Management, Press Your Luck, Variable Player Powers",12969,"Card Game, World War I","Fabien Riffaud, Juan Rodriguez",1.9187
283,284,34219,Biblios,2,4,30.0,30,30,2007.0,7.23634,7.07458,11280,10.0,"Auction/Bidding, Card Drafting, Hand Management, Press Your Luck, Set Collection",14424,"Card Game, Medieval, Religious",Steve Finn,1.6763
285,286,42052,Vinhos,2,4,97.5,60,135,2010.0,7.52119,7.07345,3829,12.0,"Area Control / Area Influence, Worker Placement",4218,"Economic, Industry / Manufacturing",Vital Lacerda,4.2029
286,287,127398,Legends of Andor,2,4,75.0,60,90,2012.0,7.30512,7.07256,9277,10.0,"Area Movement, Co-operative Play, Dice Rolling, Variable Player Powers",15785,"Adventure, Fantasy, Fighting, Puzzle",Michael Menzel,2.765
289,290,90419,Airlines Europe,2,5,75.0,75,75,2011.0,7.3638,7.0687,5790,10.0,"Card Drafting, Route/Network Building, Set Collection, Stock Holding",6846,"Aviation / Flight, Economic",Alan R. Moon,2.4381
292,293,125618,Libertalia,2,6,45.0,45,45,2012.0,7.24472,7.06346,9837,14.0,"Hand Management, Set Collection, Simultaneous Action Selection, Variable Phase Order",11838,"Card Game, Pirates",Paolo Mori,2.2349
293,294,158899,Colt Express,2,6,35.0,30,40,2014.0,7.20416,7.06011,14724,10.0,"Action / Movement Programming, Hand Management, Memory, Modular Board, Take That, Variable Player Powers",20795,"American West, Fighting, Trains",Christophe Raimbault,1.8076
295,296,50,Lost Cities,2,2,30.0,30,30,1999.0,7.14805,7.05811,28695,10.0,"Hand Management, Set Collection",37613,"Card Game, Exploration",Reiner Knizia,1.512
296,297,116998,Thunderstone Advance: Towers of Ruin,1,5,75.0,60,90,2012.0,7.47487,7.05773,4221,12.0,"Card Drafting, Deck / Pool Building, Hand Management",6567,"Card Game, Fantasy","Edward Bolme, Mike Elliott, Mark Wootton",2.7414
297,298,162082,Deus,2,4,75.0,60,90,2014.0,7.37551,7.05669,5251,14.0,"Area Control / Area Influence, Grid Movement, Hand Management, Modular Board, Route/Network Building",6139,"Civilization, Mythology",Sébastien Dujardin,2.8433
298,299,141572,Paperback,2,5,45.0,45,45,2014.0,7.34411,7.05274,5782,8.0,"Card Drafting, Co-operative Play, Deck / Pool Building",9554,"Card Game, Print & Play, Word Game",Tim Fowers,1.9947
299,300,475,Taj Mahal,3,5,87.5,75,100,2000.0,7.31914,7.05105,6360,12.0,"Auction/Bidding, Card Drafting, Hand Management, Route/Network Building, Set Collection",6975,"Bluffing, Political",Reiner Knizia,3.0067
300,301,43570,Friday,1,1,25.0,25,25,2011.0,7.23188,7.0499,10656,13.0,"Deck / Pool Building, Hand Management",19126,"Card Game, Fighting, Novel-based, Pirates",Friedemann Friese,2.123
304,305,27173,Vikings,2,4,60.0,60,60,2007.0,7.28275,7.04455,7088,10.0,"Auction/Bidding, Tile Placement",6798,"Economic, Medieval, Nautical, Territory Building",Michael Kiesling,2.5393
305,306,6472,A Game of Thrones (first edition),3,5,180.0,180,180,2003.0,7.27462,7.04449,9545,12.0,"Area Movement, Auction/Bidding, Hand Management, Memory, Player Elimination, Simultaneous Action Selection, Variable Player Powers",9115,"Bluffing, Fantasy, Negotiation, Novel-based, Political, Wargame","Christian T. Petersen, Kevin Wilson",3.4477
306,307,133848,Euphoria: Build a Better Dystopia,2,6,60.0,60,60,2013.0,7.32155,7.04197,6489,13.0,"Dice Rolling, Hand Management, Set Collection, Variable Player Powers, Worker Placement",8657,Science Fiction,"Jamey Stegmaier, Alan Stone",3.115
307,308,34119,Tales of the Arabian Nights,1,6,120.0,120,120,2009.0,7.26441,7.04078,9491,12.0,"Dice Rolling, Point to Point Movement, Role Playing, Storytelling, Variable Player Powers",13828,"Adventure, Arabian, Book, Exploration, Fantasy, Travel","Anthony J. Gallela, Eric Goldberg, Kevin Maroney, Zev Shlasinger",2.1634
308,309,163968,Elysium,2,4,60.0,60,60,2015.0,7.32754,7.04074,5926,14.0,"Card Drafting, Set Collection",8311,"Ancient, Card Game, Mythology","Matthew Dunstan, Brett J. Gilbert",2.7789
309,310,192153,Pandemic: Reign of Cthulhu,2,4,40.0,40,40,2016.0,7.53103,7.03945,4091,14.0,"Action Point Allowance System, Co-operative Play, Hand Management, Point to Point Movement, Set Collection, Trading, Variable Player Powers",7913,"Horror, Mythology","Matt Leacock, Chuck D. Yager",2.1452
310,311,128271,Ginkgopolis,1,5,45.0,45,45,2012.0,7.4366,7.03938,4010,13.0,"Area Control / Area Influence, Card Drafting, Simultaneous Action Selection, Tile Placement",3759,"City Building, Environmental, Science Fiction, Territory Building",Xavier Georges,2.9038
311,312,113924,Zombicide,1,6,112.5,45,180,2012.0,7.28079,7.03687,12320,13.0,"Action Point Allowance System, Co-operative Play, Dice Rolling, Hand Management, Modular Board, Player Elimination, Variable Player Powers",17783,"Horror, Miniatures, Zombies","Raphaël Guiton, Jean-Baptiste Lullien, Nicolas Raoult",2.5753
312,313,478,Citadels,2,8,40.0,20,60,2000.0,7.12778,7.03526,40200,10.0,"Card Drafting, Set Collection, Variable Phase Order, Variable Player Powers",53036,"Bluffing, Card Game, City Building, Fantasy, Medieval",Bruno Faidutti,2.0603
313,314,39351,Automobile,3,5,120.0,120,120,2009.0,7.35901,7.03278,4877,12.0,"Commodity Speculation, Variable Player Powers",4805,"Economic, Industry / Manufacturing",Martin Wallace,3.5216
